Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG
36,Peyton Stearns [USA],48,25-23,52.1%,56.0%,57.3%,122,3.4%,169,4.7%,12.8%,63.2%,62.8%,44.3%,50.8%,64.2%,6.8,3.0
37,Olga Danilovic [SRB],34,20-14,58.8%,58.4%,60.1%,87,3.5%,128,5.1%,14.5%,64.7%,64.3%,47.7%,55.9%,72.0%,7.0,2.9
38,Leylah Fernandez [CAN],52,26-26,50.0%,57.4%,59.3%,134,3.4%,223,5.6%,14.9%,62.2%,64.4%,45.8%,53.8%,67.5%,6.9,2.9
39,Anna Kalinskaya [RUS],40,22-18,55.0%,58.6%,60.8%,58,2.2%,131,5.0%,14.7%,65.9%,64.0%,48.3%,56.6%,69.1%,6.5,2.7
40,Emma Raducanu [GBR],43,26-17,60.5%,56.8%,57.7%,125,4.3%,135,4.6%,13.2%,64.9%,63.5%,44.4%,51.1%,65.7%,6.8,2.9
41,Maya Joint [AUS],32,20-Dec,62.5%,56.8%,58.7%,40,2.0%,94,4.6%,12.5%,63.1%,60.8%,50.0%,57.1%,66.5%,6.6,2.8
42,Dayana Yastremska [UKR],46,24-22,52.2%,56.0%,57.8%,141,3.9%,213,5.9%,14.4%,58.8%,61.3%,48.4%,56.6%,65.1%,7.2,3.2
43,Katie Boulter [GBR],46,25-21,54.3%,58.6%,61.5%,122,4.3%,209,7.4%,16.9%,56.1%,68.6%,45.7%,55.0%,71.0%,6.7,2.8
44,Anastasia Potapova [RUS],43,25-18,58.1%,56.6%,59.0%,103,3.1%,206,6.2%,13.4%,53.8%,65.3%,46.5%,53.8%,66.1%,6.8,2.9
45,Tatjana Maria [GER],31,Nov-20,35.5%,54.8%,54.2%,109,5.4%,70,3.5%,8.1%,57.5%,63.5%,43.1%,46.9%,61.4%,6.7,3.0
46,Veronika Kudermetova [RUS],47,23-24,48.9%,56.7%,56.3%,180,5.3%,117,3.4%,8.6%,60.1%,64.1%,45.4%,49.6%,64.2%,6.7,2.9
47,Lulu Sun [NZL],38,16-22,42.1%,59.6%,59.4%,183,6.7%,118,4.3%,10.2%,57.6%,68.2%,47.9%,53.4%,72.9%,6.7,2.7
48,Marie Bouzkova [CZE],47,26-21,55.3%,56.8%,58.4%,112,3.5%,166,5.2%,13.6%,62.0%,64.5%,44.3%,51.2%,66.5%,6.7,2.9
49,Elina Avanesyan [ARM],46,24-22,52.2%,54.0%,55.6%,32,0.9%,125,3.6%,11.8%,69.2%,58.1%,44.8%,50.8%,59.8%,6.7,3.1
